Name,Domain,Indicator,Year,Month,NAME,GeogID,Measure,TType,Value,ts,measureName,indicatorName,contentAreaName
PARADISE VALLEY,CD,80,2019,ALL,PARADISE VALLEY,61,428,ALL,19.92,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
PARADISE VALLEY VILLAGE,CD,80,2019,ALL,PARADISE VALLEY VILLAGE,32,428,ALL,72,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
PARKER,CD,80,2019,ALL,PARKER,28,428,ALL,98.86,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
PASCUA YAQUI TRIBE,CD,80,2019,ALL,PASCUA YAQUI TRIBE,117,428,ALL,0.02,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
PAYSON,CD,80,2019,ALL,PAYSON,23,428,ALL,19.38,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
PEORIA NORTH,CD,80,2019,ALL,PEORIA NORTH,48,428,ALL,50.35,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
PEORIA SOUTH,CD,80,2019,ALL,PEORIA SOUTH,49,428,ALL,72.17,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
PICTURE ROCKS,CD,80,2019,ALL,PICTURE ROCKS,103,428,ALL,14.23,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
PRESCOTT,CD,80,2019,ALL,PRESCOTT,21,428,ALL,46.72,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
PRESCOTT VALLEY,CD,80,2019,ALL,PRESCOTT VALLEY,20,428,ALL,59.58,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
QUARTZSITE,CD,80,2019,ALL,QUARTZSITE,26,428,ALL,8.96,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
QUEEN CREEK,CD,80,2019,ALL,QUEEN CREEK,80,428,ALL,21.98,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
