source,unit,location_name,location_type,variable_name,variable_desc,collected_on,value,medium
CO School of Mines,,PUMPHOUSE,station,ISOPOD,Isopoda,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,PETROPH,Lepidoptera Crambidae Petrophila,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,Total,Total number of individuals per replicate,2011-11-15 07:00:00,804.6,water
CO School of Mines,,PUMPHOUSE,station,Taxa,Number of taxa per replicate,2011-11-15 07:00:00,18.6,water
CO School of Mines,,PUMPHOUSE,station,EPT Total,Total Ephemeroptera+Plecoptera+Trichoptera per replicate,2011-11-15 07:00:00,600.8,water
CO School of Mines,,PUMPHOUSE,station,EPT Rich,Total Number of Ephemeroptera+Plecoptera+Trichoptera taxa per replicate,2011-11-15 07:00:00,13.0,water
CO School of Mines,,PUMPHOUSE,station,Avg Total ,Avg Total number of individuals per site,2011-11-15 07:00:00,805.0,water
CO School of Mines,,PUMPHOUSE,station,Avg Taxa Rich,Avg Number of taxa per site,2011-11-15 07:00:00,19.0,water
CO School of Mines,,PUMPHOUSE,station,Avg EPT Total,Avg Total Ephemeroptera+Plecoptera+Trichoptera per site,2011-11-15 07:00:00,601.0,water
CO School of Mines,,PUMPHOUSE,station,Avg EPT Rich,Avg Number of Ephemeroptera+Plecoptera+Trichoptera taxa per site,2011-11-15 07:00:00,13.0,water
CO School of Mines,,RIVIERA,station,ACENTR,Ephemeroptera Baetidae Acentrella,2011-11-15 07:00:00,0.0,water
CO School of Mines,,RIVIERA,station,BAETIS,Ephemeroptera Baetidae Baetis,2011-11-15 07:00:00,1.6,water
CO School of Mines,,RIVIERA,station,DIPHAG,Ephemeroptera Baetidae Diphetor,2011-11-15 07:00:00,0.0,water
CO School of Mines,,RIVIERA,station,DRUDOD,Ephemeroptera Ephemerellidae Drunella,2011-11-15 07:00:00,0.2,water
CO School of Mines,,RIVIERA,station,DRUGRACOL,Ephemeroptera Ephemerellidae Drunella,2011-11-15 07:00:00,0.0,water
CO School of Mines,,RIVIERA,station,EPHEM,Ephemeroptera Ephemerellidae Ephemerella,2011-11-15 07:00:00,0.0,water
CO School of Mines,,RIVIERA,station,SERRAT,Ephemeroptera Ephemerellidae Serratella,2011-11-15 07:00:00,0.0,water
CO School of Mines,,RIVIERA,station,CINYGM,Ephemeroptera Heptageniidae Cinygmula,2011-11-15 07:00:00,0.0,water
CO School of Mines,,RIVIERA,station,EPEORUS,Ephemeroptera Heptageniidae Epeorus,2011-11-15 07:00:00,0.0,water
CO School of Mines,,RIVIERA,station,RHITHR,Ephemeroptera Heptageniidae Rhithrogena,2011-11-15 07:00:00,0.0,water
CO School of Mines,,RIVIERA,station,PARALE,Ephemeroptera Leptophlebiidae Paraleptophlebia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,RIVIERA,station,AMELT,Ephemeroptera Ameletidae Ameletus,2011-11-15 07:00:00,0.0,water
CO School of Mines,,RIVIERA,station,HEPTAG,Ephemeroptera,2011-11-15 07:00:00,0.0,water
CO School of Mines,,RIVIERA,station,AMPHIN,Plecoptera Nemouridae Amphinermura,2011-11-15 07:00:00,0.2,water
CO School of Mines,,RIVIERA,station,CAPNIA,Plecoptera Capniidae Capnia,2011-11-15 07:00:00,0.8,water
CO School of Mines,,RIVIERA,station,PRO/POD,Plecoptera Nemouridae Prostoia/Podmosta,2011-11-15 07:00:00,0.2,water
CO School of Mines,,RIVIERA,station,ZAPADA,Plecoptera Nemouridae Zapada,2011-11-15 07:00:00,0.0,water
CO School of Mines,,RIVIERA,station,TAENIO,Plecoptera Taeniopterygidae Taenionema,2011-11-15 07:00:00,0.0,water
CO School of Mines,,RIVIERA,station,ALLOPE,Plecoptera Chloroperlidae Alloperla,2011-11-15 07:00:00,0.0,water
CO School of Mines,,RIVIERA,station,SUWALL,Plecoptera Chloroperlidae Suwallia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,RIVIERA,station,SWELTSA,Plecoptera Chloroperlidae Sweltsa,2011-11-15 07:00:00,0.0,water
CO School of Mines,,RIVIERA,station,CLAASS,Plecoptera Perlidae Claassenia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,RIVIERA,station,SKWALA,Plecoptera Perlodidae Skwala,2011-11-15 07:00:00,0.0,water
CO School of Mines,,RIVIERA,station,HESPERO,Plecoptera Perlidae Hesperoperla,2011-11-15 07:00:00,0.0,water
CO School of Mines,,RIVIERA,station,CHLORO,Plecoptera,2011-11-15 07:00:00,0.2,water
CO School of Mines,,RIVIERA,station,ISOPERLA,Plecoptera Perlodidae Isoperla,2011-11-15 07:00:00,0.4,water
