source,unit,location_name,location_type,variable_name,variable_desc,collected_on,medium,value
USGS,mg/kg,"33.9395,-110.9655",point,pb,Concentration of pb,2013-09-18,soil,16.6
USGS,mg/kg,"33.9395,-110.9655",point,rb,Concentration of rb,2013-09-18,soil,60.9
USGS,wt. %,"33.9395,-110.9655",point,s,Concentration of s,2013-09-18,soil,0.01
USGS,mg/kg,"33.9395,-110.9655",point,sb,Concentration of sb,2013-09-18,soil,0.59
USGS,mg/kg,"33.9395,-110.9655",point,sc,Concentration of sc,2013-09-18,soil,5.6
USGS,mg/kg,"33.9395,-110.9655",point,se,Concentration of se,2013-09-18,soil,0.2
USGS,mg/kg,"33.9395,-110.9655",point,sn,Concentration of sn,2013-09-18,soil,1.6
USGS,mg/kg,"33.9395,-110.9655",point,sr,Concentration of sr,2013-09-18,soil,84.5
USGS,mg/kg,"33.9395,-110.9655",point,th,Concentration of th,2013-09-18,soil,11.5
USGS,wt. %,"33.9395,-110.9655",point,ti,Concentration of ti,2013-09-18,soil,0.49
USGS,mg/kg,"33.9395,-110.9655",point,tl,Concentration of tl,2013-09-18,soil,0.3
USGS,mg/kg,"33.9395,-110.9655",point,u,Concentration of u,2013-09-18,soil,2.7
USGS,mg/kg,"33.9395,-110.9655",point,v,Concentration of v,2013-09-18,soil,41.0
USGS,mg/kg,"33.9395,-110.9655",point,w,Concentration of w,2013-09-18,soil,0.8
USGS,mg/kg,"33.9395,-110.9655",point,y,Concentration of y,2013-09-18,soil,16.2
USGS,mg/kg,"33.9395,-110.9655",point,zn,Concentration of zn,2013-09-18,soil,37.0
USGS,wt. %,"31.8178,-111.5432",point,al,Concentration of al,2013-09-18,soil,6.16
USGS,mg/kg,"31.8178,-111.5432",point,as,Concentration of as,2013-09-18,soil,3.3
USGS,mg/kg,"31.8178,-111.5432",point,ba,Concentration of ba,2013-09-18,soil,796.0
USGS,mg/kg,"31.8178,-111.5432",point,be,Concentration of be,2013-09-18,soil,1.7
USGS,mg/kg,"31.8178,-111.5432",point,bi,Concentration of bi,2013-09-18,soil,0.3
USGS,wt. %,"31.8178,-111.5432",point,ca,Concentration of ca,2013-09-18,soil,0.56
USGS,mg/kg,"31.8178,-111.5432",point,cd,Concentration of cd,2013-09-18,soil,0.1
USGS,mg/kg,"31.8178,-111.5432",point,ce,Concentration of ce,2013-09-18,soil,59.4
USGS,mg/kg,"31.8178,-111.5432",point,co,Concentration of co,2013-09-18,soil,7.9
USGS,mg/kg,"31.8178,-111.5432",point,cr,Concentration of cr,2013-09-18,soil,35.0
USGS,mg/kg,"31.8178,-111.5432",point,cs,Concentration of cs,2013-09-18,soil,7.0
